Date,Cost,Category,Details,Tips,Out,In,Surp,Subtotal
2015/7/20,-32,固定支出,理发,16号,,,,
2015/7/20,-30,餐饮,羊肉,,,,,
2015/7/20,-12,餐饮,面包,85,,,,
2015/7/20,-800,其他,长辈,奶奶生日,,,,
2015/7/20,-16.5,餐饮,麦当劳,2杯水,,,,
2015/7/20,-303,餐饮,火锅,,,,,
2015/7/20,33.6,餐饮,伊藤,小龙虾,,,,
2015/7/20,-38,交通,过路费,加4停车费,,,,
2015/7/20,-240,购物,izzue,短T,,,,
2015/7/21,-6.8,餐饮,新希望,,,,,
2015/7/21,-9,餐饮,晚饭,,,,,
2015/7/21,-770,购物,chrome bag,mini buran 运费170+,,,,
2015/7/22,-96,购物,墨水,永恒黑 鲶鱼,,,,
2015/7/22,-10.3,餐饮,新希望+面,,,,,
2015/7/22,-94.8,购物,钢笔,施耐德406/402各一支，吸墨器2支,,,,
2015/7/24,-16,餐饮,炒饭+凉糕,,,,,
2015/7/25,-5,交通,停车费,,,,,
2015/7/25,-21,餐饮,MCD,可乐 薯条,,,,
2015/7/26,-50,餐饮,露丝茶餐厅,,,,,
2015/7/26,-10,餐饮,蓝莓派,,,,,
2015/7/26,-25,餐饮,王破仑,蓝莓不错,,,,
2015/7/26,-220,餐饮,小红袍龙虾,高升桥位置沃尔玛祖母厨房左边旁边,,,,
2015/7/26,-42,餐饮,星巴克,三重奏一般,,,,
2015/7/27,-10,交通,停车费,,,,,
2015/7/27,-11.5,餐饮,,,,,,
2015/7/28,-19.5,餐饮,,,,,,
2015/7/29,-13.5,餐饮,,,,,,
2015/7/30,-9,餐饮,,,,,,
2015/7/31,-39.8,娱乐,电影,破风8.2号,,,,
2015/7/31,-78,餐饮,星巴克+露丝,,,,,
2015/8/3,-400,其他,满月酒,梁晨沐熙,-4225.41,3451,-774.41,
2015/8/3,-14,交通,,,,,,
2015/8/3,-20,餐饮,,,,,,
2015/8/3,-5,交通,,,,,,
2015/8/3,-39.9,购物,HM,,,,,
2015/8/3,-62,餐饮,汉堡王,,,,,
2015/8/3,-128.6,购物,treat超市,,,,,
2015/8/3,-11.5,餐饮,水果,,,,,
2015/8/3,-37,餐饮,宵夜 大源,,,,,
2015/8/3,-157.7,生活用品,插线板+DP转接线,,,,,
2015/8/3,-34,餐饮,,,,,,
2015/8/4,-52,电子类,侠客风云传,,,,,
2015/8/4,-98.5,固定支出,话费,,,,,
2015/8/5,-200,交通,油费,,,,,
2015/8/5,-47.3,餐饮,,,,,,
2015/8/6,-23.5,餐饮,,,,,,
2015/8/6,-10,交通,停车费,,,,,
2015/8/6,-50,其他,修鞋,,,,,
2015/8/7,-29,交通,,,,,,
2015/8/7,-30,餐饮,羊肉,,,,,
2015/8/8,-20,娱乐,游泳,,,,,
2015/8/8,-20,餐饮,,,,,,
2015/8/9,-344,购物,ti5手办*5，到付44邮费,,,,,
2015/8/9,-25,生活用品,修脚,,,,,
2015/8/9,-29,交通,,,,,,
